"","Row.names","Comp.cauda","comp.corpo","massa.corp","BodyMass.g","WeightMean.g.Paglia","Activity","MainGuild","TrophicLevel.Kissling","Locomotor.Paglia","ActivityNocturnal","ActivityCrepuscular","ActivityDiurnal","Diet.Inv","Diet.Vend","Diet.Vect","Diet.Vfish","Diet.Vunk","Diet.Scav","Diet.Fruit","Diet.Nect","Diet.Seed","Diet.PlantO","lenght_log","weigth_log","betweenness","Central","Ca_body","HostSpecies","ForStrat"
"1","abrawayaomys.ruschii",100.5,125.5,55,63,59,"3","4","3","4","1","0","0",20,0,0,0,0,0,10,0,40,30,4.83230575857184,4.14313472639153,1.44978022166046,"Not Central",0.800796812749004,"abrawayaomys.ruschii","Ground"
"2","akodon.cursor",93,104,45.5,39.85,50,"1","4","3","5","1","1","1",80,0,0,0,0,0,0,0,0,20,4.64439089914137,3.68512240523622,462.258994013556,"Central",0.894230769230769,"akodon.cursor","Ground"
"3","akodon.montensis",83.1,109.8,32.4,31.32,43,"1","4","3","5","1","1","1",70,0,0,0,0,0,0,0,0,30,4.69866052907543,3.4442568711226,894.919121468729,"Central",0.756830601092896,"akodon.montensis","Ground"
"4","akodon.paranaensis",89.5,107,44.1,31.32,35,"1","4","3","5","1","1","1",70,0,0,0,0,0,0,0,0,30,4.67282883446191,3.4442568711226,6.44475037695859,"Not Central",0.836448598130841,"akodon.paranaensis","Ground"
"5","bibimys.labiosus",76,85,30,29,30,"3","1","2","4","1","0","0",0,0,0,0,0,0,0,0,30,70,4.44265125649032,3.36729582998647,0,"Not Central",0.894117647058824,"bibimys.labiosus","Ground"
"6","blarinomys.breviceps",42.5,105,36,36.8,40,"3","4","1","4","1","0","0",20,0,0,0,0,0,10,0,40,30,4.65396035015752,3.60549784517489,0,"Not Central",0.404761904761905,"blarinomys.breviceps","Ground"
"7","brucepattersonius.soricinus",83,103,30.87,30.87,25,"3","2","3","4","1","0","0",90,0,0,0,0,0,0,0,0,10,4.63472898822964,3.42978483851407,0,"Not Central",0.805825242718447,"brucepattersonius.soricinus","Ground"
"8","calomys.tener",60.6,77.5,14.5,13.8,20,"1","1","2","5","1","1","0",0,0,0,0,0,0,0,0,0,100,4.3502779363593,2.62466859216316,43.4005911656858,"Central",0.781935483870968,"calomys.tener","Ground"
"9","caluromys.philander",278.8,196.1,330,229.25,202,"1","4","3","1","1","1","0",20,0,0,0,10,0,20,0,10,40,5.2786247332023,5.43481311113657,68.3217295992424,"Central",1.42172361040286,"caluromys.philander","Arboreal"
"10","castoria.angustidens",85.5,97.5,29,29,29,"4","3","0","0","0","0","0",0,0,0,0,0,0,0,0,0,0,4.5798523780038,3.36729582998647,0,"Not Central",0.876923076923077,"castoria.angustidens","Ground"
"11","cerradomys.subflavus",177.5,160,73,50,92,"1","4","3","5","1","1","1",20,0,0,0,0,0,20,0,20,40,5.07517381523383,3.91202300542815,154.892776508051,"Central",1.109375,"cerradomys.subflavus","Ground"
"12","cryptonanus.agricolai",103.67,87.83,18.6,18.9,18,"1","1","3","1","1","1","0",50,0,0,0,0,0,30,20,0,0,4.47540312792903,2.9391619220656,0,"Not Central",1.1803484003188,"cryptonanus.agricolai","Scansorial"
"13","delomys.dorsalis",132,127,65,67.5,60,"3","4","3","5","1","0","0",20,0,0,0,0,0,10,0,40,30,4.84418708645859,4.21212759787848,0,"Not Central",1.03937007874016,"delomys.dorsalis","Ground"
"14","delomys.sublineatus",105,125,60,90,64,"3","4","3","5","1","0","0",20,0,0,0,0,0,10,0,40,30,4.8283137373023,4.49980967033027,0,"Not Central",0.84,"delomys.sublineatus","Ground"
"15","didelphis.albiventris",320,369,829,904,1600,"3","4","3","2","1","0","0",20,0,0,0,30,30,0,0,0,20,5.91079664404053,6.80682936039218,1225.98819431973,"Central",0.867208672086721,"didelphis.albiventris","Scansorial"
"16","didelphis.aurita",412,427,924,1163.99,1235,"3","4","3","2","1","0","0",20,0,0,0,30,30,0,0,0,20,6.05678401322862,7.05960903718919,1158.43478559719,"Central",0.964871194379391,"didelphis.aurita","Scansorial"
"17","drymoreomys.albimaculatus",160.3,131.45,55,33.5625,76,"4","3","0","5","0","0","0",0,0,0,0,0,0,0,0,0,0,4.87862655117589,3.51340937226908,0,"Not Central",1.21947508558387,"drymoreomys.albimaculatus","Arboreal"
"18","euryoryzomys.russatus",139,135,85,60.5,85,"1","4","3","5","1","1","1",20,0,0,0,0,0,20,0,20,40,4.90527477843843,4.1026433650368,100.536970578499,"Central",1.02962962962963,"euryoryzomys.russatus","Ground"
"19","gracilinanus.agilis",104.2,129.53,29.26,22,26,"1","4","3","1","1","1","0",50,0,0,0,0,0,30,20,0,0,4.86391251454216,3.09104245335832,385.744939524447,"Central",0.804446846290435,"gracilinanus.agilis","Scansorial"
"20","gracilinanus.microtarsus",150,107,31.2,31,32,"1","4","1","1","1","1","0",50,0,0,0,0,0,30,20,0,0,4.67282883446191,3.43398720448515,11.4394686376688,"Not Central",1.4018691588785,"gracilinanus.microtarsus","Scansorial"
"21","hylaeamys.seuanezi",130,275.8,49.11,49.11,51,"1","4","3","5","1","1","1",20,0,0,0,0,0,20,0,20,40,5.6196759653592,3.89406268005115,11.9785394826992,"Not Central",0.4713560551124,"hylaeamys.seuanezi","Ground"
"22","juliomys.pictipes",108.8,86,22.5,22.9,24,"3","1","2","1","1","0","0",0,0,0,0,0,0,40,0,0,60,4.45434729625351,3.13113691056019,0,"Not Central",1.26511627906977,"juliomys.pictipes","Ground"
"23","marmosa.demerarae",223,184,125,75.75,120,"3","2","3","1","1","0","0",90,0,0,0,0,0,10,0,0,0,5.21493575760899,4.32743844438948,255.190300022546,"Central",1.21195652173913,"marmosa.demerarae","Scansorial"
"24","marmosa.murina",173,133,51,26,52,"3","4","3","2","1","0","0",40,10,10,0,10,0,30,0,0,0,4.89034912822175,3.25809653802148,232.087209527105,"Central",1.30075187969925,"marmosa.murina","Arboreal"
"25","marmosa.paraguayana",250.6,182.6,90.8,112.43,147,"3","4","3","2","1","0","0",30,0,0,0,30,0,20,20,0,0,5.20729796816087,4.72233080576167,86.7460791461542,"Central",1.3723986856517,"marmosa.paraguayana","Arboreal"
"26","marmosops.incanus",196,132,67,62.3,80,"3","4","3","2","1","0","0",50,0,0,0,0,0,50,0,0,0,4.88280192258637,4.13196142579341,15.6450769464573,"Not Central",1.48484848484848,"marmosops.incanus","Arboreal"
"27","marmosops.paulensis",122,168,35,38.89,43,"3","4","3","2","1","0","0",50,0,0,0,0,0,50,0,0,0,5.12396397940326,3.66073714816766,0,"Not Central",0.726190476190476,"marmosops.paulensis","Arboreal"
"28","metachirus.myosuros",323,260,341,331,331,"3","4","3","5","1","0","0",30,20,20,0,10,0,20,0,0,0,5.56068163101553,5.80211837537706,0.862904066981312,"Not Central",1.24230769230769,"metachirus.myosuros","Scansorial"
"29","monodelphis.americana",48,103,25,19.5,29,"3","4","1","5","1","0","0",20,20,0,0,0,20,20,0,20,0,4.63472898822964,2.9704144655697,34.0278087106832,"Not Central",0.466019417475728,"monodelphis.americana","Ground"
"30","monodelphis.dimidiata",73,139,68,58,62,"3","4","3","5","1","0","0",20,20,0,0,0,20,20,0,20,0,4.93447393313069,4.06044301054642,0,"Not Central",0.525179856115108,"monodelphis.dimidiata","Ground"
"31","monodelphis.iheringi",53.9,98.23,22.17,112,11,"3","4","3","5","1","0","0",20,20,0,0,0,20,20,0,20,0,4.58731166768678,4.71849887129509,0.385926806550589,"Not Central",0.548712206047032,"monodelphis.iheringi","Ground"
"32","monodelphis.kunsi",40,80,11,11.3,20,"3","4","3","5","1","0","0",20,20,0,0,0,20,20,0,20,0,4.38202663467388,2.42480272571829,0,"Not Central",0.5,"monodelphis.kunsi","Ground"
"33","monodelphis.pinocchio",51,94,25,25,0,"3","4","3","5","1","0","0",20,20,0,0,0,20,20,0,20,0,4.54329478227,3.2188758248682,0,"Not Central",0.542553191489362,"monodelphis.pinocchio","Ground"
"34","monodelphis.scalops",57,95,75,74.1,74,"3","4","3","5","1","0","0",20,20,0,0,0,20,20,0,20,0,4.55387689160054,4.30541553230204,0,"Not Central",0.6,"monodelphis.scalops","Ground"
"35","necromys.lasiurus",76,122,55,39.93,60,"2","4","3","5","0","0","1",70,0,0,0,0,0,0,0,0,30,4.80402104473326,3.68712792107513,1260.34616603328,"Central",0.622950819672131,"necromys.lasiurus","Ground"
"36","nectomys.squamipes",208.4,200.7,229,190.75,250,"3","4","1","3","1","0","0",30,0,20,20,0,0,0,0,0,30,5.30181125580229,5.25096367016457,423.94463408252,"Central",1.03836571998007,"nectomys.squamipes","Ground"
"37","oecomys.catherinae",166,140,70,67.41,70,"3","1","3","1","1","0","0",0,0,0,0,0,0,50,0,50,0,4.9416424226093,4.21079337486535,0,"Not Central",1.18571428571429,"oecomys.catherinae","Ground"
"38","oligoryzomys.flavescens",109.7,87,18.8,21.3,20,"3","4","2","2","1","0","0",30,0,0,0,0,0,30,0,40,0,4.46590811865458,3.05870707271538,5.42049376049583,"Not Central",1.26091954022989,"oligoryzomys.flavescens","Ground"
"39","oligoryzomys.nigripes",116,92,25.4,20.5,25,"3","4","2","2","1","0","0",30,0,0,0,0,0,30,0,40,0,4.52178857704904,3.02042488614436,671.017985056922,"Central",1.26086956521739,"oligoryzomys.nigripes","Ground"
"40","oxymycterus.dasytrichus",125.2,148.8,94.9,60.57,95,"2","2","3","4","0","0","1",90,0,0,0,0,0,0,0,0,10,5.00260312239899,4.10379972099286,20.4294694880477,"Not Central",0.841397849462366,"oxymycterus.dasytrichus","Ground"
"41","oxymycterus.delator",91.3,144.5,78.3,81.5,78,"2","2","1","4","0","0","1",90,0,0,0,0,0,0,0,0,10,4.97327950755249,4.40060302024682,38.4824405351745,"Not Central",0.631833910034602,"oxymycterus.delator","Ground"
"42","oxymycterus.quaestor",108.7,149,45.5,60.57,45,"2","2","3","4","0","0","1",90,0,0,0,0,0,0,0,0,10,5.00394630594546,4.10379972099286,0,"Not Central",0.729530201342282,"oxymycterus.quaestor","Ground"
"43","oxymycterus.rufus",104.4,136.5,68.7,75.4,70,"2","2","3","4","0","0","1",90,0,0,0,0,0,0,0,0,10,4.91632461462501,4.32280727501391,0,"Not Central",0.764835164835165,"oxymycterus.rufus","Ground"
"44","philander.quica",299,266,430,437.5,437.5,"1","4","2","2","1","1","1",30,30,20,0,10,0,10,0,0,0,5.5834963087817,6.08107670579767,4.95559757474478,"Not Central",1.12406015037594,"philander.quica","Scansorial"
"45","phyllomys.nigrispinus",199,197,224.3,224.3,250,"3","1","2","1","1","0","0",0,0,0,0,0,0,80,0,0,20,5.28320372873799,5.41298444152616,0,"Not Central",1.01015228426396,"phyllomys.nigrispinus","Ground"
"46","rhagomys.rufescens",99.6,85.5,22,21.2,15,"3","4","3","2","1","0","0",20,0,0,0,0,0,10,0,40,30,4.44851637594271,3.05400118167797,0,"Not Central",1.16491228070175,"rhagomys.rufescens","Arboreal"
"47","rhipidomys.mastacalis",168.9,136.7,86.9,77.5,87,"3","4","3","1","1","0","0",20,0,0,0,0,0,30,0,30,20,4.9177887437299,4.3502779363593,0,"Not Central",1.23555230431602,"rhipidomys.mastacalis","Arboreal"
"48","sooretamys.angouya",192,161,116,68.17,140,"1","4","3","5","1","1","1",20,0,0,0,0,0,20,0,20,40,5.08140436498446,4.22200458537469,27.3389452899082,"Not Central",1.19254658385093,"sooretamys.angouya","Ground"
"49","thaptomys.nigrita",44.5,90.6,21.3,19.9,20,"1","4","1","5","1","1","1",20,0,0,0,0,0,10,0,40,30,4.50645421304893,2.99071973173045,106.308321458318,"Central",0.491169977924945,"thaptomys.nigrita","Ground"
"50","trinomys.dimidiatus",170,199,200,167.6,200,"3","1","3","5","1","0","0",0,0,0,0,0,0,20,0,10,70,5.29330482472449,5.12158018804798,0,"Not Central",0.85427135678392,"trinomys.dimidiatus","Ground"
"51","trinomys.gratiosus.bonafidei",148,182,201,235.59,235.59,"3","1","3","5","1","0","0",0,0,0,0,0,0,20,0,10,70,5.2040066870768,5.46209300605489,0,"Not Central",0.813186813186813,"trinomys.gratiosus.bonafidei","Ground"
"52","trinomys.paratus",213.2,224.7,279.5,235.59,280,"3","1","3","5","1","0","0",0,0,0,0,0,0,20,0,10,70,5.41476617919128,5.46209300605489,0,"Not Central",0.948820649755229,"trinomys.paratus","Ground"
